id,Q1_labeled,Q2_labeled,Q3_labeled,Q4_labeled,Q5_labeled,Q1_conv,Q2_conv,Q3_conv,Q4_conv,Q5_conv,all_correct
conv_701,No,No,"Yes - Cates tells Reggie ""Let's go""",No,No,NO,YES - CATES: Whaddya think? ELAINE: What do I know?  I'm just a bartender.,"YES - CATES: Let's go, Reggie.",NO,NO,False
conv_702,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_703,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_704,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_705,No,No,No,No,No,NO,YES - ELAINE: Who the hell are you?,NO,NO,NO,False
conv_706,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_707,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_708,No,No,No,No,No,NO,YES - ELAINE said 'Have you two ace detectives checked that out?' implying she wants them to investigate his character,NO,NO,NO,False
conv_709,No,No,No,No,No,NO,YES - GANZ: Shut up.,NO,NO,NO,False
conv_710,No,No,No,No,No,NO,"YES - ""What do you want?  What's goin' on?"" (LISA)",NO,NO,NO,False
conv_711,No,No,No,No,No,NO,YES - LISA: What do you want?,NO,NO,NO,False
conv_712,No,No,No,No,No,NO,"YES - GANZ: Keep stallin.' (implying a playful, teasing tone)",NO,NO,NO,False
conv_713,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_714,No,No,"Yes - ""We'll follow you""",No,No,NO,NO,NO,NO,NO,False
conv_715,No,No,No,No,No,NO,YES - LUTHER: I thought you were locked up- (implies interest in GANZ's current status),NO,NO,NO,False
conv_716,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_717,No,No,No,No,No,NO,"YES - LUTHER: 'Come on, you can trust me. Please.' (implying a request for trust, but not explicitly asking for age)",NO,NO,NO,False
conv_718,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_719,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_720,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_721,No,No,"Yes - ""You want to go outside?""",No,No,NO,NO,NO,NO,NO,False
conv_722,No,No,No,No,No,NO,YES - SOSNA: You sure?,NO,NO,NO,False
conv_723,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_724,No,No,No,No,No,NO,NO,NO,"YES - SOSNA: 'This is clean shit.  No serial numbers and never been used...' (implied sale or trade), HAMMOND: 'Five.  On credit.' (credit purchase)",NO,False
conv_725,No,No,No,No,No,NO,"YES - HAMMOND: 'I haven't got the money so what are you gonna do about it?' (implying a past situation, but not directly asking for age)",NO,NO,NO,False
conv_726,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_727,No,No,No,No,No,NO,"YES - ""LEELOO"", 'text': 'Corn-i-Lius?'"" (Leeloo is asking Cornelius about his name, not age)",NO,NO,NO,False
conv_728,No,No,No,No,No,NO,"YES - 'What're you laughing about?' (CORNELIUS) - This is a question, but it's not asking for age",NO,NO,NO,False
conv_729,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_730,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_731,No,No,No,No,No,NO,"YES - LEELOO: Vano da, mechteba?! Soun domo kala chon hammas! (approximately translates to 'What's your wish?' or 'Tell me your dream') - This implies LEELOO is asking about Cornelius' thoughts or intentions but not directly age, however this might be a bit of stretch and in most contexts it would mean the other person asked. However, in this context, we will consider this as an indirect ask.",NO,NO,NO,False
conv_732,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_733,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_734,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_735,No,No,No,No,No,NO,NO,YES - ZORG: Follow me..,NO,NO,False
conv_736,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_737,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_738,No,No,No,No,No,NO,"YES - No specific question about age was asked, but rather a statement 'You are a monster, Zorg!' which implies an accusation or insult.",NO,NO,NO,False
conv_739,No,No,No,No,No,NO,"YES - KORBEN's message 'Excuse me, I'm looking for a priest.' implies they might be seeking a specific service, but it does not explicitly ask about age.",NO,NO,NO,False
conv_740,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_741,No,No,No,No,No,NO,YES - CORNELIUS: Who are you?,NO,NO,NO,False
conv_742,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_743,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_744,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_745,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_746,No,No,Yes - Mission to save the world mentioned,No,No,NO,"YES - 'KORBEN', 'text': 'Father, I was in the Army for awhile and every time they told us we were on a mission to save the world the only thing that changed was I lost a lot of friends.'",NO,NO,NO,False
conv_747,No,No,No,No,No,NO,YES - CORNELIUS: What are you doing?,NO,NO,NO,False
conv_748,No,No,No,No,No,NO,"YES - KORBEN: 'When is she not in trouble?' - implying an expectation of a response about Leeloo's age or situation, but no direct question about KORBEN's age",NO,NO,NO,False
conv_749,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_750,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_751,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_752,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_753,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_754,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_755,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_756,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_757,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_758,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_759,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_760,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_761,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_762,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_763,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_764,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_765,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_766,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_767,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_768,No,No,No,No,No,NO,YES - KORBEN: Who?,NO,NO,NO,False
conv_769,No,No,No,No,No,NO,NO,NO,"YES - Diva said: ""You must give her the Stones, she's the only one who knows how to use them.""",NO,False
conv_770,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_771,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_772,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_773,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_774,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_775,No,No,No,No,Yes - Reference to finding a picture,NO,NO,NO,NO,NO,False
conv_776,No,No,No,No,No,NO,YES - 'How many points you got left on your license?',NO,NO,NO,False
conv_777,No,No,No,No,No,NO,"YES - 'FINGER': 'So, just how big was this fare?'",NO,NO,NO,False
conv_778,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_779,No,No,No,No,No,NO,YES - 'Scuse me?' (KORBEN's text),NO,NO,NO,False
conv_780,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_781,No,No,Yes - Offer to go to a doctor,No,No,NO,NO,NO,NO,NO,False
conv_782,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_783,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_784,No,No,No,No,No,NO,YES - ...What's your name?,NO,NO,NO,False
conv_785,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_786,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_787,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_788,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_789,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_790,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_791,No,No,No,No,No,NO,"YES - 'I get it! You want to make me beg, is that it?' (implying a possible question about KORBEN's intentions)",NO,NO,NO,False
conv_792,No,No,Yes - Reference to trip to Fhloston Paradise,No,No,NO,NO,NO,NO,NO,False
conv_793,No,No,No,No,No,NO,YES - MOTHER: Have you pulled yourself together?,NO,NO,NO,False
conv_794,No,No,No,No,No,NO,"YES - KORBEN's first message 'Hello?' could be considered an implicit question asking if the other person is available or willing to talk, but it does not directly ask for age. However, KORBEN's second message '..Ma???' is more likely a confused response rather than a direct question about age.",NO,NO,NO,False
conv_795,No,No,No,No,No,NO,"YES - VOICE: 'Welcome on board Mr. Dallas..', KORBEN: ""How you doing this morning?  Sleep OK? I didn't.""",NO,NO,NO,False
conv_796,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_797,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_798,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_799,No,No,No,No,No,NO,"YES - VOICE: '6... 5...' (implying counting down to a specific number, possibly an age)",NO,NO,NO,False
conv_800,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_801,No,No,Yes - Radio show meetup mentioned (5 to 7),No,No,NO,NO,NO,NO,NO,False
conv_802,No,No,Yes - Radio show tomorrow between 5 and 7,No,No,NO,NO,NO,NO,NO,False
conv_803,No,No,Yes - Request to take to bar,No,No,NO,NO,"YES - KORBEN: 'I'll take you to the bar, after that, you're on your own.'",NO,NO,True
conv_804,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_805,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_806,No,No,"Yes - ""Not without Leeloo"" implies meeting",No,No,NO,NO,NO,NO,NO,False
conv_807,No,No,"Yes - ""I'll be right back"" implies meeting",No,No,NO,NO,NO,NO,NO,False
conv_808,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_809,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_810,No,No,"Yes - Reference to ""tomorrow for another adventure""",No,No,NO,NO,NO,NO,NO,False
conv_811,No,No,No,No,No,NO,YES - KORBEN: What did you say? What did you do?,NO,NO,NO,False
conv_812,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_813,No,No,Yes - Mission to Fhloston Paradise,No,No,NO,NO,NO,NO,NO,False
conv_814,No,No,No,No,No,NO,YES - KORBEN: And the third one?,NO,NO,NO,False
conv_815,No,No,Yes - Trip to Fhloston Paradise mentioned,No,No,NO,NO,NO,NO,NO,False
conv_816,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_817,No,No,No,No,No,NO,YES - MUNRO: What is it?,NO,NO,NO,False
conv_818,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_819,No,No,"Yes - ""Set up another meeting"" mentioned",No,No,NO,NO,"YES - KORBEN: ""Let me set up another meeting and I'll be back.""",NO,NO,True
conv_820,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_821,No,No,No,No,No,NO,"YES - LEELOO: Valo massa... Chacha hamas. (implying a question about KORBEN's well-being or something, but no direct ask)",NO,NO,NO,False
conv_822,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_823,No,No,Yes - Reference to honeymoon trip,No,No,NO,NO,NO,NO,NO,False
conv_824,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_825,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_826,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_827,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_828,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_829,No,No,No,No,No,NO,"YES - KORBEN: 'You get that off the screen?' (implying a request to remove information, possibly including age)",NO,NO,NO,False
conv_830,No,No,Yes - Going to see Diva sing,No,No,NO,YES - KORBEN: Where you going?,NO,NO,NO,False
conv_831,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_832,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_833,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_834,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_835,No,No,Yes - Mention of vacation,No,No,NO,NO,NO,NO,NO,False
conv_836,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_837,No,No,No,No,No,NO,YES - LEELOO: Why?... Why would you need me?,NO,NO,NO,False
conv_838,No,No,No,No,No,NO,"YES - ""Tell me..."" - LEELOO (implying a question about personal information, but not explicitly asking for age)",NO,NO,NO,False
conv_839,No,No,No,No,No,NO,YES - 'How someone strong like you scared from a message? Is good news I sure!' (THAI is asking KORBEN about his reaction to bad news),NO,NO,NO,False
conv_840,No,No,Yes - Reference to lunch,No,No,NO,NO,NO,YES - KORBEN: 'At least I won lunch.' and THAI: 'I prepare number one dessert.. special for you and pussy..',NO,False
conv_841,No,No,No,No,No,NO,YES - KORBEN: Been here long?,NO,NO,NO,False
conv_842,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_843,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_844,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_845,No,No,No,No,No,NO,NO,YES - 'Yes... I can't wait to meet him.',NO,NO,False
conv_846,No,No,No,No,No,NO,YES - MUNRO: Is there any danger? Some kind of virus?,NO,NO,NO,False
conv_847,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_848,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_849,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_850,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_851,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_852,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_853,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_854,No,No,No,No,No,"YES - No age was given, but the speaker ""PRESIDENT"" says ""There are no results from the chemical and molecular analysis as of yet, all the calibers are overshot..we're hoping a thermo nucleatic imaging.."" which implies they are discussing something without giving their age.",NO,NO,NO,NO,False
conv_855,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_856,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_857,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_858,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_859,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_860,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_861,No,No,Yes - Reference to concert,No,No,NO,NO,NO,NO,NO,False
conv_862,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_863,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_864,No,No,No,No,No,NO,NO,NO,YES - ZORG: 'I'll have the 4 pieces you asked for any time now.',NO,False
conv_865,No,No,No,No,No,NO,NO,"YES - SHADOW said ""...I can't wait to be among you."" This implies a desire for physical presence, likely at the location of 'The Stones'.",NO,NO,False
conv_866,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_867,No,No,No,No,No,NO,"YES - AMY: ""What's this... have you been smoking... ?"" (implying she is accusing WELLES of something, but not directly asking about his age), however in the previous conversation segment, it was mentioned that amy asked welles to describe himself which could be interpreted as trying to gather more information about him. However, there's no direct question regarding age.",NO,NO,NO,False
conv_868,No,No,No,No,No,NO,YES - AMY: How's the detective business?,NO,NO,NO,False
conv_869,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_870,No,No,Yes - Bridge game next week mentioned,No,No,NO,NO,NO,NO,NO,False
conv_871,No,No,Yes - Reference to coming back in two months,No,No,NO,NO,NO,"YES - ""This is Cindy's college money."" (given as mortgage)",NO,False
conv_872,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_873,No,No,Yes - Coming back to house in three hours,No,No,NO,NO,NO,NO,NO,False
conv_874,No,No,No,No,No,NO,"YES - 'AMY', 'text': 'What's going on, Tom?  What happened?'",NO,NO,NO,False
conv_875,No,No,No,No,No,NO,"YES - AMY: ""Why haven't you called?  Why don't you answer your phone?"" (implying she wants him to respond, but not directly asking for his age)",NO,NO,NO,False
conv_876,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_877,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_878,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_879,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_880,No,No,No,No,Yes - Reference to films,NO,YES - WELLES: What are these?,NO,"YES - ANGRY DEALER: Buy five, get one free.",NO,False
conv_881,No,No,No,No,Yes - Discussion of films,NO,NO,NO,NO,NO,False
conv_882,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_883,No,No,No,No,No,NO,NO,NO,NO,NO,True
