id,Q1,Q2,Q3,Q4,Q5
conv_901,NO,NO,NO,NO,NO
conv_902,NO,NO,NO,NO,NO
conv_903,NO,NO,NO,NO,NO
conv_904,NO,NO,NO,NO,NO
conv_905,NO,NO,NO,NO,NO
conv_906,NO,NO,NO,NO,NO
conv_907,NO,NO,NO,NO,NO
conv_908,NO,NO,NO,NO,NO
conv_909,NO,NO,NO,NO,NO
conv_910,NO,"YES - 'What's he talking about?' (EDDIE) - This is an indirect way of asking about someone's age or information, but it's not a direct question.",NO,NO,NO
conv_911,NO,NO,NO,NO,NO
conv_912,NO,NO,NO,NO,NO
conv_913,NO,NO,NO,NO,NO
conv_914,NO,NO,NO,NO,NO
conv_915,NO,NO,NO,NO,NO
conv_916,NO,YES - EDDIE: Why?,NO,NO,NO
conv_917,NO,NO,NO,NO,YES - WELLES: 'Show me.'; EDDIE: 'Took it out the bathroom window. Buried it in the woods.' (implying a crime scene)
conv_918,NO,NO,NO,NO,NO
conv_919,NO,NO,NO,NO,NO
conv_920,NO,NO,NO,NO,NO
conv_921,NO,NO,NO,NO,"YES - ""You know how my tapes sell.  People eat this stuff up."" (referring to video tapes)"
conv_922,NO,NO,NO,NO,NO
conv_923,NO,NO,NO,NO,NO
conv_924,NO,NO,NO,NO,"YES - WELLES: 'You found these smut dealers and asked to buy a snuff film, right?'"
conv_925,NO,NO,NO,NO,NO
conv_926,NO,NO,NO,NO,NO
conv_927,NO,NO,NO,NO,NO
conv_928,NO,NO,NO,NO,NO
conv_929,NO,NO,NO,NO,NO
conv_930,NO,NO,NO,NO,NO
conv_931,NO,"YES - MAX: Big date tonight? (implying a relationship, but not directly asking for age)",NO,YES - MAX: Can I interest you in a battery operated-vagina? (offering a product),NO
conv_932,NO,NO,NO,NO,NO
conv_933,NO,NO,NO,NO,NO
conv_934,NO,"YES - ""WELLES"": 'Remember me?'...This sentence implies WELLES is asking MAX if they remember him, but it doesn't explicitly ask for age. However, MAX's response ""Came back for that battery-operated vagina, right?  Told you you would."" does not indicate a request for age either.",NO,NO,NO
conv_935,NO,NO,NO,NO,NO
conv_936,NO,NO,NO,NO,NO
